date,usdprice
2020-05-15,1.144
2020-06-15,1.135
2020-07-15,1.129
2020-08-15,1.13
2020-09-15,1.133
2020-10-15,1.147
2020-11-15,1.143
2020-12-15,1.136
2021-01-15,1.133
2021-02-15,1.131
2021-03-15,1.128
2021-04-15,1.137
2021-05-15,1.143
2021-06-15,1.129
2021-07-15,1.134
2021-08-15,1.14
2021-09-15,1.095
2021-10-15,1.045
2021-11-15,1.0
2021-12-15,0.908
2022-01-15,0.994
2022-02-15,1.157
2022-03-15,1.196
2022-04-15,1.214
2022-05-15,1.25
2022-06-15,1.332
2022-07-15,1.388
2022-08-15,1.381
2022-09-15,1.383
2022-10-15,1.396
2022-11-15,1.331
2022-12-15,1.37
2023-01-15,1.367
2023-02-15,1.403
2023-03-15,1.41
2023-04-15,1.409
2023-05-15,1.375
2023-06-15,1.378
2023-07-15,1.37
2023-08-15,1.393
2023-09-15,1.436
2023-10-15,1.465
2023-11-15,1.507
2023-12-15,1.45
2024-01-15,1.422
2024-02-15,1.395
2024-03-15,1.414
2024-04-15,1.392
2024-05-15,1.344
2024-06-15,1.219
2024-07-15,1.334
2024-08-15,1.317
2024-09-15,1.191
