date,usdprice
2016-04-15,1.155
2016-05-15,1.153
2016-06-15,1.21
2016-07-15,1.127
2016-08-15,1.177
2016-09-15,1.208
2016-10-15,1.212
2016-11-15,1.224
2016-12-15,1.22
2017-01-15,1.226
2017-02-15,1.299
2017-03-15,1.296
2017-04-15,1.313
2017-05-15,1.318
2017-06-15,1.314
2017-07-15,1.232
2017-08-15,1.246
2017-09-15,1.266
2017-10-15,1.244
2017-11-15,1.242
2017-12-15,1.264
2018-01-15,1.218
2018-02-15,1.182
2018-03-15,1.174
2018-04-15,1.184
2018-05-15,1.026
2018-06-15,0.927
2018-07-15,0.952
2018-08-15,0.965
2018-09-15,0.858
2018-10-15,0.969
2018-11-15,1.046
2018-12-15,1.027
2019-01-15,1.063
2019-02-15,1.052
2019-03-15,1.024
2019-04-15,1.015
2019-05-15,0.986
2019-06-15,1.042
2019-07-15,1.084
2019-08-15,0.849
2019-09-15,0.847
2019-10-15,0.865
2019-11-15,0.92
2019-12-15,0.961
2020-01-15,1.068
2020-02-15,1.079
2020-03-15,1.072
2020-04-15,1.071
2020-05-15,1.039
2020-06-15,1.048
2020-07-15,1.029
2020-08-15,1.009
2020-09-15,1.008
2020-10-15,1.04
2020-11-15,1.015
2020-12-15,0.991
2021-01-15,0.951
2021-02-15,0.924
2021-03-15,0.926
2021-04-15,1.04
2021-05-15,1.159
2021-06-15,1.178
2021-07-15,1.164
2021-08-15,1.205
2021-09-15,1.173
2021-10-15,1.178
2021-11-15,1.141
2021-12-15,1.128
2022-01-15,1.163
2022-02-15,1.134
2022-03-15,1.14
2022-04-15,1.126
2022-05-15,1.114
