date,usdprice
2004-01-15,0.245
2004-02-15,0.238
2004-03-15,0.245
2004-04-15,0.245
2004-05-15,0.234
2004-06-15,0.239
2004-07-15,0.25
2004-08-15,0.252
2004-09-15,0.243
2004-10-15,0.26
2004-11-15,0.279
2004-12-15,0.298
2005-01-15,0.278
2005-02-15,0.285
2005-03-15,0.261
2005-04-15,0.252
2005-05-15,0.236
2005-06-15,0.252
2005-07-15,0.249
2005-08-15,0.244
2005-09-15,0.244
2005-10-15,0.275
2005-11-15,0.273
2005-12-15,0.272
2006-01-15,0.243
2006-02-15,0.245
2006-03-15,0.249
2006-04-15,0.237
2006-05-15,0.247
2006-06-15,0.248
2006-07-15,0.24
2006-08-15,0.248
2006-09-15,0.266
2006-10-15,0.256
2006-11-15,0.259
2006-12-15,0.263
2007-01-15,0.273
2007-02-15,0.312
2007-03-15,0.326
2007-04-15,0.327
2007-05-15,0.337
2007-06-15,0.353
2007-07-15,0.347
2007-08-15,0.371
2007-09-15,0.377
2007-10-15,0.389
2007-11-15,0.393
2007-12-15,0.409
2008-01-15,0.437
2008-02-15,0.439
2008-03-15,0.454
2008-04-15,0.485
2008-05-15,0.451
2008-06-15,0.459
2008-07-15,0.496
2008-08-15,0.489
2008-09-15,0.473
2008-10-15,0.47
2008-11-15,0.42
2008-12-15,0.414
2009-01-15,0.377
2009-02-15,0.358
2009-03-15,0.335
2009-04-15,0.303
2009-05-15,0.306
2009-06-15,0.3
2009-07-15,0.325
2009-08-15,0.302
2009-09-15,0.306
2009-10-15,0.323
2009-11-15,0.325
2009-12-15,0.351
2010-01-15,0.389
2010-02-15,0.414
2010-03-15,0.415
2010-04-15,0.403
2010-05-15,0.393
2010-06-15,0.416
2010-07-15,0.435
2010-08-15,0.44
2010-09-15,0.461
2010-10-15,0.479
2010-11-15,0.473
2010-12-15,0.477
2011-01-15,0.503
2011-02-15,0.502
2011-03-15,0.492
2011-04-15,0.477
2011-05-15,0.448
2011-06-15,0.421
2011-07-15,0.432
2011-08-15,0.432
2011-09-15,0.432
2011-10-15,0.414
2011-11-15,0.395
2011-12-15,0.385
2012-01-15,0.358
2012-02-15,0.356
2012-03-15,0.352
2012-04-15,0.345
2012-05-15,0.335
2012-06-15,0.331
2012-07-15,0.321
2012-08-15,0.318
2012-09-15,0.316
2012-10-15,0.318
2012-11-15,0.331
2012-12-15,0.335
2013-01-15,0.344
2013-02-15,0.383
2013-03-15,0.398
2013-04-15,0.389
2013-05-15,0.389
2013-06-15,0.383
2013-07-15,0.4
2013-08-15,0.407
2013-09-15,0.418
2013-10-15,0.423
2013-11-15,0.44
2013-12-15,0.433
2014-01-15,0.448
2014-02-15,0.439
2014-03-15,0.44
2014-04-15,0.45
2014-05-15,0.445
2014-06-15,0.434
2014-07-15,0.44
2014-08-15,0.449
2014-09-15,0.453
2014-10-15,0.451
2014-11-15,0.449
2014-12-15,0.436
2015-01-15,0.428
2015-02-15,0.433
2015-03-15,0.429
2015-04-15,0.422
2015-05-15,0.387
2015-06-15,0.38
2015-07-15,0.375
2015-08-15,0.374
2015-09-15,0.372
2015-10-15,0.378
2015-11-15,0.368
2015-12-15,0.358
2016-01-15,0.363
2016-02-15,0.367
2016-03-15,0.353
2016-04-15,0.346
2016-05-15,0.342
2016-06-15,0.352
2016-07-15,0.369
2016-08-15,0.398
2016-09-15,0.432
2016-10-15,0.46
2016-11-15,0.467
2016-12-15,0.445
2017-01-15,0.449
2017-02-15,0.453
2017-03-15,0.462
2017-04-15,0.493
2017-05-15,0.528
2017-06-15,0.553
2017-07-15,0.535
2017-08-15,0.52
2017-09-15,0.473
2017-10-15,0.459
2017-11-15,0.422
2017-12-15,0.512
2018-01-15,0.51
2018-02-15,0.51
2018-03-15,0.508
2018-04-15,0.49
2018-05-15,0.474
2018-06-15,0.464
2018-07-15,0.475
2018-08-15,0.464
2018-09-15,0.46
2018-10-15,0.443
2018-11-15,0.431
2018-12-15,0.404
2019-01-15,0.408
2019-02-15,0.4
2019-03-15,0.392
2019-04-15,0.376
2019-05-15,0.378
2019-06-15,0.371
2019-07-15,0.428
2019-08-15,0.417
2019-09-15,0.362
2019-10-15,0.355
2019-11-15,0.365
2019-12-15,0.368
2020-01-15,0.37
2020-02-15,0.383
2020-03-15,0.402
2020-04-15,0.435
2020-05-15,0.477
2020-06-15,0.471
2020-07-15,0.475
2020-08-15,0.483
2020-09-15,0.504
2020-10-15,0.522
2020-11-15,0.518
2020-12-15,0.52
2021-01-15,0.52
2021-02-15,0.53
2021-03-15,0.541
2021-04-15,0.538
2021-05-15,0.51
2021-06-15,0.503
2021-07-15,0.519
2021-08-15,0.52
2021-09-15,0.514
2021-10-15,0.505
2021-11-15,0.495
2021-12-15,0.493
2022-01-15,0.49
2022-02-15,0.498
2022-03-15,0.496
2022-04-15,0.488
2022-05-15,0.498
2022-06-15,0.476
2022-07-15,0.474
2022-08-15,0.495
2022-09-15,0.456
2022-10-15,0.487
2022-11-15,0.468
2022-12-15,0.458
2023-01-15,0.472
2023-02-15,0.447
2023-03-15,0.444
2023-04-15,0.45
2023-05-15,0.425
2023-06-15,0.424
2023-07-15,0.428
2023-08-15,0.426
2023-09-15,0.425
2023-10-15,0.402
2023-11-15,0.421
2023-12-15,0.431
2024-01-15,0.441
2024-02-15,0.466
2024-03-15,0.447
2024-04-15,0.447
2024-05-15,0.422
2024-06-15,0.422
