date,usdprice
1994-01-15,0.22
1994-02-15,0.235
1994-03-15,0.229
1994-04-15,0.251
1994-05-15,0.248
1994-06-15,0.256
1994-07-15,0.253
1994-08-15,0.254
1994-09-15,0.256
1994-10-15,0.253
1994-11-15,0.268
1994-12-15,0.263
1995-01-15,0.279
1995-02-15,0.243
1995-03-15,0.254
1995-04-15,0.247
1995-05-15,0.257
1995-06-15,0.255
1995-07-15,0.258
1995-08-15,0.269
1995-09-15,0.247
1995-10-15,0.231
1995-11-15,0.228
1995-12-15,0.231
1996-01-15,0.238
1996-02-15,0.243
1996-03-15,0.249
1996-04-15,0.266
1996-05-15,0.252
1996-06-15,0.259
1996-07-15,0.251
1996-08-15,0.254
1996-09-15,0.267
1996-10-15,0.27
1996-11-15,0.276
1996-12-15,0.267
1997-01-15,0.262
1997-02-15,0.267
1997-03-15,0.273
1997-04-15,0.267
1997-05-15,0.266
1997-06-15,0.277
1997-07-15,0.263
1997-08-15,0.268
1997-09-15,0.262
1997-10-15,0.262
1997-11-15,0.258
1997-12-15,0.25
1998-01-15,0.249
1998-02-15,0.244
1998-03-15,0.249
1998-04-15,0.253
1998-05-15,0.237
1998-06-15,0.23
1998-07-15,0.232
1998-08-15,0.253
1998-09-15,0.261
1998-10-15,0.255
1998-11-15,0.256
1998-12-15,0.25
1999-01-15,0.261
1999-02-15,0.264
1999-03-15,0.272
1999-04-15,0.255
1999-05-15,0.257
1999-06-15,0.261
1999-07-15,0.267
1999-08-15,0.265
1999-09-15,0.267
1999-10-15,0.272
1999-11-15,0.268
1999-12-15,0.263
2000-01-15,0.257
2000-02-15,0.262
2000-03-15,0.256
2000-04-15,0.268
2000-05-15,0.254
2000-06-15,0.248
2000-07-15,0.235
2000-08-15,0.238
2000-09-15,0.233
2000-10-15,0.229
2000-11-15,0.218
2000-12-15,0.222
2001-01-15,0.224
2001-02-15,0.219
2001-03-15,0.221
2001-04-15,0.216
2001-05-15,0.218
2001-06-15,0.222
2001-07-15,0.224
2001-08-15,0.226
2001-09-15,0.226
2001-10-15,0.223
2001-11-15,0.222
2001-12-15,0.223
2002-01-15,0.221
2002-02-15,0.207
2002-03-15,0.204
