date,usdprice
2012-04-15,0.635
2012-05-15,0.639
2012-06-15,0.639
2012-07-15,0.639
2012-08-15,0.639
2012-09-15,0.639
2012-10-15,0.763
2012-11-15,0.867
2012-12-15,0.861
2013-01-15,0.942
2013-02-15,0.95
2013-03-15,0.991
2013-04-15,1.028
2013-05-15,1.14
2013-06-15,1.293
2013-07-15,1.32
2013-08-15,1.344
2013-09-15,1.355
2013-10-15,1.352
2013-11-15,1.36
2013-12-15,1.34
2014-01-15,1.327
2014-02-15,1.323
2014-03-15,1.315
2014-04-15,1.315
2014-05-15,1.318
2014-06-15,1.318
2014-07-15,1.317
2014-08-15,1.317
2014-09-15,1.317
2014-10-15,1.315
2014-11-15,1.382
2014-12-15,1.396
2015-01-15,1.508
2015-02-15,1.388
2015-03-15,1.315
2015-04-15,1.395
2015-05-15,1.318
2015-06-15,1.438
2015-07-15,1.448
2015-08-15,1.448
2015-09-15,1.448
2015-10-15,1.498
2015-11-15,1.513
2015-12-15,1.506
2016-01-15,1.508
2016-02-15,1.589
2016-03-15,1.587
2016-04-15,1.587
2016-05-15,1.587
2016-06-15,1.619
2016-07-15,1.972
2016-08-15,2.105
2016-09-15,2.143
2016-10-15,2.333
2016-11-15,2.341
2016-12-15,2.314
2017-01-15,2.315
2017-02-15,2.119
2017-03-15,2.313
2017-04-15,2.313
2017-05-15,2.299
2017-06-15,2.293
2017-07-15,2.282
2017-08-15,2.294
2017-09-15,2.294
2017-10-15,2.287
2017-11-15,2.285
2017-12-15,2.272
2018-01-15,2.272
2018-02-15,2.272
2018-03-15,2.272
2018-04-15,2.28
2018-05-15,2.288
2018-06-15,2.292
2018-07-15,2.3
2018-08-15,2.385
2018-09-15,2.446
2018-10-15,2.614
2018-11-15,2.677
2018-12-15,2.757
2019-01-15,2.757
2020-02-15,1.683
2020-04-15,1.683
2020-05-15,1.89
2020-06-15,1.89
2020-07-15,4.139
2020-08-15,4.021
2020-10-15,5.322
2021-01-15,4.943
2021-02-15,4.967
2021-03-15,4.967
2021-04-15,4.967
2021-05-15,5.44
2021-06-15,5.676
2021-07-15,5.676
2021-08-15,5.676
2021-09-15,6.623
2021-10-15,7.096
2021-11-15,7.096
2021-12-15,7.096
2022-01-15,7.096
2022-02-15,7.096
2022-03-15,7.805
2022-04-15,7.096
2022-05-15,8.278
2022-06-15,9.224
2022-07-15,9.224
2022-08-15,10.052
2022-10-15,9.461
