date,usdprice
2011-04-15,16.953
2011-05-15,13.01
2011-06-15,17.42
2011-07-15,17.536
2011-08-15,18.17
2011-09-15,17.841
2011-10-15,18.646
2011-11-15,18.752
2011-12-15,18.829
2012-01-15,19.147
2012-02-15,18.977
2012-03-15,21.601
2012-04-15,22.151
2012-05-15,18.651
2012-06-15,19.186
2012-07-15,19.3
2012-08-15,23.277
2012-09-15,19.392
2012-10-15,19.616
2012-11-15,23.182
2012-12-15,13.853
2013-01-15,17.566
2013-02-15,13.179
2013-03-15,16.141
2013-04-15,19.239
2013-05-15,14.883
2013-06-15,15.288
2013-07-15,15.238
2013-08-15,18.863
2013-09-15,15.527
2013-10-15,18.487
2013-11-15,14.941
2013-12-15,17.268
2014-01-15,13.965
2014-02-15,14.319
2014-03-15,14.129
2014-04-15,14.594
2014-05-15,5.681
2014-06-15,14.553
2014-07-15,14.42
2014-08-15,14.139
2014-09-15,16.353
2014-10-15,13.293
2014-11-15,11.983
2014-12-15,8.82
2015-01-15,11.006
2015-02-15,11.126
2015-03-15,11.331
2015-04-15,4.743
2015-05-15,11.315
2015-06-15,10.903
2015-07-15,10.993
2015-08-15,13.007
2015-09-15,11.302
2015-10-15,11.637
2015-11-15,11.464
2015-12-15,11.445
2016-01-15,9.973
2016-02-15,14.748
2016-03-15,14.922
2016-04-15,13.078
2016-05-15,12.778
2016-06-15,13.396
2016-07-15,5.733
2016-08-15,13.893
2016-09-15,13.934
2016-10-15,13.569
2016-11-15,13.729
2016-12-15,19.677
2017-01-15,12.602
2017-02-15,12.727
2017-03-15,12.878
2017-04-15,15.507
2017-05-15,15.474
2017-06-15,13.092
2017-07-15,12.987
2017-08-15,15.85
2017-09-15,13.222
2017-10-15,15.803
2017-11-15,13.28
2017-12-15,13.245
2018-01-15,15.955
2018-02-15,14.094
2018-03-15,13.989
2018-04-15,13.914
2018-05-15,13.64
2018-06-15,13.724
2018-07-15,13.408
2018-08-15,21.819
2018-09-15,13.32
2018-10-15,16.178
2018-11-15,21.704
2018-12-15,15.97
2019-01-15,13.678
2019-02-15,13.659
2019-03-15,13.69
2019-04-15,16.165
2019-07-15,11.035
2019-08-15,11.105
2019-09-15,14.155
2019-10-15,14.067
2019-11-15,14.097
2019-12-15,11.003
2020-01-15,22.197
