date,usdprice
2020-01-15,1.021
2020-02-15,1.039
2020-03-15,0.997
2020-04-15,1.003
2020-05-15,1.01
2020-06-15,0.999
2020-07-15,0.99
2020-08-15,1.001
2020-09-15,0.997
2020-10-15,0.976
2020-11-15,0.961
2020-12-15,0.949
2021-01-15,0.931
2021-02-15,0.945
2021-03-15,0.939
2021-04-15,0.92
2021-05-15,0.926
2021-06-15,0.928
2021-07-15,0.934
2021-08-15,0.954
2021-09-15,0.972
2021-10-15,0.877
2021-11-15,0.852
2021-12-15,0.825
2022-01-15,0.806
2022-02-15,0.805
2022-03-15,0.844
2022-04-15,0.816
2022-05-15,0.782
2022-06-15,0.732
2022-07-15,0.741
2022-08-15,0.763
2022-09-15,0.766
2022-10-15,0.79
2022-11-15,0.77
2022-12-15,0.783
2023-01-15,0.872
2023-02-15,0.815
2023-03-15,0.92
2023-04-15,0.831
2023-05-15,0.831
2023-06-15,0.811
2023-07-15,0.82
2023-08-15,0.78
2023-09-15,0.835
2023-10-15,0.881
2023-11-15,0.845
2023-12-15,0.914
2024-01-15,0.85
2024-02-15,0.877
2024-03-15,0.897
2024-04-15,0.894
2024-05-15,0.897
2024-06-15,0.974
2024-07-15,0.926
2024-08-15,0.94
