date,usdprice
2021-03-15,3.668
2021-04-15,4.677
2021-05-15,4.913
2021-06-15,5.931
2021-07-15,8.19
2021-08-15,9.648
2021-09-15,8.656
2021-10-15,9.487
2021-11-15,10.411
2021-12-15,12.147
2022-01-15,15.223
2022-02-15,12.733
2022-03-15,13.392
2022-04-15,15.12
2022-05-15,16.683
2022-06-15,17.408
2022-07-15,17.879
2022-08-15,18.788
2022-09-15,21.596
2022-10-15,22.324
2022-11-15,22.572
2022-12-15,24.076
2023-01-15,27.358
2023-02-15,4.158
2023-03-15,5.937
2023-04-15,5.923
2023-05-15,5.249
2023-06-15,6.13
2023-07-15,5.908
2023-08-15,5.797
2023-09-15,6.036
2023-10-15,5.767
2023-11-15,5.536
2023-12-15,5.574
2024-01-15,5.427
2024-02-15,5.411
2024-03-15,0.909
2024-04-15,0.912
2024-05-15,0.925
2024-06-15,5.478
2024-07-15,0.924
2024-08-15,0.939
