date,usdprice
2004-01-15,0.326
2004-02-15,0.324
2004-03-15,0.325
2004-04-15,0.326
2004-05-15,0.323
2004-06-15,0.323
2004-07-15,0.342
2004-08-15,0.355
2004-09-15,0.353
2004-10-15,0.348
2004-11-15,0.349
2004-12-15,0.348
2005-01-15,0.351
2005-02-15,0.35
2005-03-15,0.388
2005-04-15,0.388
2005-05-15,0.388
2005-06-15,0.374
2005-07-15,0.367
2005-08-15,0.364
2005-09-15,0.362
2005-10-15,0.31
2005-11-15,0.345
2005-12-15,0.346
2006-01-15,0.302
2006-02-15,0.302
2006-03-15,0.36
2006-04-15,0.301
2006-05-15,0.301
2006-06-15,0.301
2006-07-15,0.3
2006-08-15,0.3
2006-09-15,0.301
2006-10-15,0.301
2006-11-15,0.301
2006-12-15,0.3
2007-01-15,0.301
2007-02-15,0.318
2007-03-15,0.363
2007-04-15,0.378
2007-05-15,0.444
2007-06-15,0.475
2007-07-15,0.476
2007-08-15,0.477
2007-09-15,0.479
2007-10-15,0.461
2007-11-15,0.462
2007-12-15,0.462
2008-01-15,0.456
2008-02-15,0.5
2008-03-15,0.54
2008-04-15,0.64
2008-05-15,0.826
2008-06-15,0.834
2008-07-15,0.732
2008-08-15,0.647
2008-09-15,0.638
2008-10-15,0.576
2008-11-15,0.566
2008-12-15,0.529
2009-01-15,0.488
2009-02-15,0.471
2009-03-15,0.467
2009-04-15,0.474
2009-05-15,0.473
2009-06-15,0.477
2009-07-15,0.467
2009-08-15,0.46
2009-09-15,0.465
2009-10-15,0.462
2009-11-15,0.457
2009-12-15,0.454
2010-01-15,0.454
2010-02-15,0.452
2010-03-15,0.463
2010-04-15,0.464
2010-05-15,0.461
2010-06-15,0.456
2010-07-15,0.456
2010-08-15,0.455
2010-09-15,0.459
2010-10-15,0.475
2010-11-15,0.486
2010-12-15,0.485
2011-01-15,0.501
2011-02-15,0.528
2011-03-15,0.53
2011-04-15,0.539
2011-05-15,0.534
2011-06-15,0.547
2011-07-15,0.545
2011-08-15,0.571
2011-09-15,0.583
2011-10-15,0.587
2011-11-15,0.6
2011-12-15,0.591
2012-01-15,0.599
2012-02-15,0.608
2012-03-15,0.607
2012-04-15,0.606
2012-05-15,0.622
2012-06-15,0.627
2012-07-15,0.624
2012-08-15,0.625
2012-09-15,0.623
2012-10-15,0.619
2012-11-15,0.617
2012-12-15,0.61
2013-01-15,0.606
2013-02-15,0.602
2013-03-15,0.615
2013-04-15,0.626
2013-05-15,0.646
2013-06-15,0.648
2013-07-15,0.645
2013-08-15,0.649
2013-09-15,0.632
2013-10-15,0.627
2013-11-15,0.62
2013-12-15,0.621
2014-01-15,0.632
2014-02-15,0.633
2014-03-15,0.654
2014-04-15,0.699
2014-05-15,0.701
2014-06-15,0.699
2014-07-15,0.7
2014-08-15,0.691
2014-09-15,0.659
2014-10-15,0.647
2014-11-15,0.65
2014-12-15,0.664
2015-01-15,0.643
2015-02-15,0.655
2015-03-15,0.635
2015-04-15,0.619
2015-05-15,0.605
2015-06-15,0.598
2015-07-15,0.582
2015-08-15,0.572
2015-09-15,0.564
2015-10-15,0.564
2015-11-15,0.537
2015-12-15,0.534
2016-01-15,0.533
2016-02-15,0.534
2016-03-15,0.534
2016-04-15,0.535
2016-05-15,0.534
2016-06-15,0.536
2016-07-15,0.536
2016-08-15,0.541
2016-09-15,0.545
2016-10-15,0.542
2016-11-15,0.542
2016-12-15,0.542
2017-01-15,0.542
2017-02-15,0.545
2017-03-15,0.556
2017-04-15,0.561
2017-05-15,0.563
2017-06-15,0.565
2017-07-15,0.561
2017-08-15,0.566
2017-09-15,0.571
2017-10-15,0.571
2017-11-15,0.583
2017-12-15,0.568
2018-01-15,0.589
2018-02-15,0.591
2018-03-15,0.598
2018-04-15,0.578
2018-05-15,0.579
2018-06-15,0.562
2018-07-15,0.545
2018-08-15,0.553
2018-09-15,0.55
2018-10-15,0.519
2018-11-15,0.522
2018-12-15,0.507
2019-01-15,0.513
2019-02-15,0.516
2019-03-15,0.523
2019-04-15,0.516
2019-05-15,0.517
2019-06-15,0.471
2019-07-15,0.461
2019-08-15,0.464
2019-09-15,0.481
2019-10-15,0.481
2019-11-15,0.489
2019-12-15,0.501
2020-01-15,0.506
2020-02-15,0.517
2020-03-15,0.51
2020-04-15,0.484
2020-05-15,0.512
2020-06-15,0.498
2020-07-15,0.493
2020-08-15,0.493
2020-09-15,0.5
2020-10-15,0.518
2020-11-15,0.54
2020-12-15,0.543
2021-01-15,0.544
2021-02-15,0.564
2021-03-15,0.589
2021-04-15,0.619
2021-05-15,0.627
2021-06-15,0.615
2021-07-15,0.613
2021-08-15,0.601
2021-09-15,0.581
2021-10-15,0.577
2021-11-15,0.567
2021-12-15,0.555
2022-01-15,0.562
2022-02-15,0.574
2022-03-15,0.574
2022-04-15,0.568
2022-05-15,0.549
2022-06-15,0.536
2022-07-15,0.532
2022-08-15,0.535
2022-09-15,0.51
2022-10-15,0.566
2022-11-15,0.567
2022-12-15,0.58
2023-01-15,0.689
2023-02-15,0.641
2023-03-15,0.63
2023-04-15,0.643
2023-05-15,0.663
2023-06-15,0.697
2023-07-15,0.75
2023-08-15,0.741
2023-09-15,0.766
2023-10-15,0.829
2023-11-15,0.784
2023-12-15,0.786
2024-01-15,0.796
2024-02-15,0.801
2024-03-15,0.805
2024-04-15,0.807
2024-05-15,0.798
2024-06-15,0.757
