date,usdprice
2004-01-15,0.35
2004-02-15,0.349
2004-03-15,0.349
2004-04-15,0.368
2004-05-15,0.365
2004-06-15,0.364
2004-07-15,0.361
2004-08-15,0.384
2004-09-15,0.391
2004-10-15,0.386
2004-11-15,0.386
2004-12-15,0.386
2005-01-15,0.389
2005-02-15,0.387
2005-03-15,0.388
2005-04-15,0.388
2005-05-15,0.388
2005-06-15,0.365
2005-07-15,0.37
2005-08-15,0.376
2005-09-15,0.374
2005-10-15,0.364
2005-11-15,0.364
2005-12-15,0.364
2006-01-15,0.311
2006-02-15,0.311
2006-03-15,0.367
2006-04-15,0.31
2006-05-15,0.311
2006-06-15,0.308
2006-07-15,0.307
2006-08-15,0.307
2006-09-15,0.306
2006-10-15,0.305
2006-11-15,0.305
2006-12-15,0.313
2007-01-15,0.324
2007-02-15,0.371
2007-03-15,0.404
2007-04-15,0.42
2007-05-15,0.445
2007-06-15,0.466
2007-07-15,0.463
2007-08-15,0.443
2007-09-15,0.453
2007-10-15,0.483
2007-11-15,0.475
2007-12-15,0.51
2008-01-15,0.505
2008-02-15,0.5
2008-03-15,0.509
2008-04-15,0.726
2008-05-15,0.712
2008-06-15,0.714
2008-07-15,0.706
2008-08-15,0.676
2008-09-15,0.68
2008-10-15,0.584
2008-11-15,0.554
2008-12-15,0.549
2009-01-15,0.528
2009-02-15,0.507
2009-03-15,0.486
2009-04-15,0.475
2009-05-15,0.475
2009-06-15,0.51
2009-07-15,0.504
2009-08-15,0.515
2009-09-15,0.523
2009-10-15,0.539
2009-11-15,0.535
2009-12-15,0.51
2010-01-15,0.499
2010-02-15,0.495
2010-03-15,0.499
2010-04-15,0.5
2010-05-15,0.497
2010-06-15,0.492
2010-07-15,0.491
2010-08-15,0.502
2010-09-15,0.515
2010-10-15,0.519
2010-11-15,0.547
2010-12-15,0.572
2011-01-15,0.576
2011-02-15,0.584
2011-03-15,0.574
2011-04-15,0.583
2011-05-15,0.575
2011-06-15,0.571
2011-07-15,0.569
2011-08-15,0.566
2011-09-15,0.562
2011-10-15,0.566
2011-11-15,0.57
2011-12-15,0.553
2012-01-15,0.549
2012-02-15,0.546
2012-03-15,0.576
2012-04-15,0.594
2012-05-15,0.591
2012-06-15,0.569
2012-07-15,0.565
2012-08-15,0.567
2012-09-15,0.573
2012-10-15,0.59
2012-11-15,0.601
2012-12-15,0.594
2013-01-15,0.59
2013-02-15,0.587
2013-03-15,0.587
2013-04-15,0.585
2013-05-15,0.584
2013-06-15,0.64
2013-07-15,0.688
2013-08-15,0.673
2013-09-15,0.655
2013-10-15,0.651
2013-11-15,0.632
2013-12-15,0.63
2014-01-15,0.641
2014-02-15,0.642
2014-03-15,0.664
2014-04-15,0.704
2014-05-15,0.673
2014-06-15,0.658
2014-07-15,0.659
2014-08-15,0.651
2014-09-15,0.644
2014-10-15,0.666
2014-11-15,0.684
2014-12-15,0.698
2015-01-15,0.696
2015-02-15,0.689
2015-03-15,0.687
2015-04-15,0.634
2015-05-15,0.629
2015-06-15,0.639
2015-07-15,0.639
2015-08-15,0.631
2015-09-15,0.623
2015-10-15,0.623
2015-11-15,0.616
2015-12-15,0.621
2016-01-15,0.62
2016-02-15,0.583
2016-03-15,0.534
2016-04-15,0.55
2016-05-15,0.548
2016-06-15,0.55
2016-07-15,0.559
2016-08-15,0.574
2016-09-15,0.555
2016-10-15,0.525
2016-11-15,0.525
2016-12-15,0.525
2017-01-15,0.525
2017-02-15,0.525
2017-03-15,0.535
2017-04-15,0.56
2017-05-15,0.597
2017-06-15,0.62
2017-07-15,0.642
2017-08-15,0.664
2017-09-15,0.665
2017-10-15,0.664
2017-11-15,0.666
2017-12-15,0.638
2018-01-15,0.633
2018-02-15,0.633
2018-03-15,0.633
2018-04-15,0.606
2018-05-15,0.606
2018-06-15,0.577
2018-07-15,0.549
2018-08-15,0.549
2018-09-15,0.543
2018-10-15,0.521
2018-11-15,0.515
2018-12-15,0.484
2019-01-15,0.54
2019-02-15,0.576
2019-03-15,0.613
2019-04-15,0.628
2019-05-15,0.651
2019-06-15,0.603
2019-07-15,0.652
2019-08-15,0.582
2019-09-15,0.604
2019-10-15,0.602
2019-11-15,0.612
2019-12-15,0.631
2020-01-15,0.621
2020-02-15,0.632
2020-03-15,0.637
2020-04-15,0.62
2020-05-15,0.661
2020-06-15,0.639
2020-07-15,0.631
2020-08-15,0.627
2020-09-15,0.634
2020-10-15,0.629
2020-11-15,0.632
2020-12-15,0.618
2021-01-15,0.608
2021-02-15,0.613
2021-03-15,0.609
2021-04-15,0.606
2021-05-15,0.607
2021-06-15,0.599
2021-07-15,0.613
2021-08-15,0.597
2021-09-15,0.576
2021-10-15,0.57
2021-11-15,0.559
2021-12-15,0.548
2022-01-15,0.554
2022-02-15,0.583
2022-03-15,0.572
2022-04-15,0.564
2022-05-15,0.537
2022-06-15,0.548
2022-07-15,0.557
2022-08-15,0.549
2022-09-15,0.51
2022-10-15,0.57
2022-11-15,0.564
2022-12-15,0.556
2023-01-15,0.601
2023-02-15,0.573
2023-03-15,0.607
2023-04-15,0.682
2023-05-15,0.716
2023-06-15,0.723
2023-07-15,0.758
2023-08-15,0.743
2023-09-15,0.776
2023-10-15,0.82
2023-11-15,0.764
2023-12-15,0.79
2024-01-15,0.803
2024-02-15,0.817
2024-03-15,0.821
2024-04-15,0.816
2024-05-15,0.801
2024-06-15,0.805
