date,usdprice
2001-04-15,0.237
2001-05-15,0.236
2001-06-15,0.237
2001-07-15,0.239
2001-08-15,0.238
2001-09-15,0.238
2001-10-15,0.227
2001-11-15,0.214
2001-12-15,0.212
2002-01-15,0.176
2002-02-15,0.211
2002-03-15,0.224
2002-04-15,0.236
2002-05-15,0.225
2002-06-15,0.233
2002-07-15,0.235
2002-08-15,0.243
2002-09-15,0.204
2002-10-15,0.242
2002-11-15,0.194
2002-12-15,0.183
2003-01-15,0.185
2003-02-15,0.19
2003-03-15,0.194
2003-04-15,0.198
2003-05-15,0.2
2003-06-15,0.249
2003-07-15,0.253
2003-08-15,0.279
2003-09-15,0.263
2003-10-15,0.263
2003-11-15,0.212
2003-12-15,0.263
2004-01-15,0.259
2004-02-15,0.264
2004-03-15,0.27
2004-04-15,0.274
2004-05-15,0.255
2004-06-15,0.267
2004-07-15,0.27
2004-08-15,0.244
2004-09-15,0.271
2004-10-15,0.267
2004-11-15,0.249
2004-12-15,0.25
2005-01-15,0.247
2005-02-15,0.269
2005-03-15,0.275
2005-04-15,0.274
2005-05-15,0.289
2005-06-15,0.324
2005-07-15,0.327
2005-08-15,0.329
2005-09-15,0.334
2005-10-15,0.305
2005-11-15,0.298
2005-12-15,0.286
2006-01-15,0.276
2006-02-15,0.322
2006-03-15,0.316
2006-04-15,0.305
2006-05-15,0.329
2006-06-15,0.327
2006-07-15,0.287
2006-08-15,0.332
2006-09-15,0.328
2006-10-15,0.301
2006-11-15,0.334
2006-12-15,0.344
2007-01-15,0.314
2007-02-15,0.352
2007-03-15,0.347
2007-04-15,0.376
2007-05-15,0.408
2007-06-15,0.423
2007-07-15,0.348
2007-08-15,0.383
2007-09-15,0.393
2007-10-15,0.37
2007-11-15,0.382
2007-12-15,0.389
2008-01-15,0.387
2008-02-15,0.398
2008-03-15,0.455
2008-04-15,0.436
2008-05-15,0.43
2008-06-15,0.44
2008-07-15,0.463
2008-08-15,0.443
2008-09-15,0.43
2008-10-15,0.396
2008-11-15,0.36
2008-12-15,0.386
2009-01-15,0.366
2009-02-15,0.377
