date,usdprice
2014-05-15,0.778
2014-07-15,0.945
2014-08-15,1.006
2014-09-15,1.202
2014-10-15,1.058
2014-11-15,1.063
2014-12-15,1.088
2015-01-15,1.051
2015-02-15,1.124
2015-03-15,1.042
2015-04-15,0.904
2015-05-15,0.92
2015-06-15,0.947
2015-07-15,1.044
2015-08-15,0.996
2015-09-15,1.03
2015-10-15,1.043
2015-11-15,1.038
2015-12-15,1.015
2016-01-15,0.966
2016-02-15,0.989
2016-03-15,1.106
2016-04-15,1.118
2016-05-15,1.551
2016-06-15,2.327
2016-07-15,1.567
2016-08-15,1.526
2016-09-15,1.515
2016-10-15,1.561
2016-11-15,1.603
2016-12-15,1.528
2017-01-15,1.681
2017-02-15,1.599
2017-03-15,1.647
2017-04-15,1.643
2017-05-15,1.607
2017-06-15,1.548
2017-07-15,2.417
2017-08-15,3.163
2017-09-15,2.322
2017-10-15,2.316
2017-11-15,2.23
2017-12-15,2.175
2018-01-15,1.723
2018-02-15,2.228
2018-03-15,2.198
2018-04-15,2.205
2018-05-15,2.23
2018-06-15,1.476
2018-07-15,1.431
2018-08-15,1.468
2018-09-15,1.472
2018-10-15,1.512
2018-11-15,1.469
2018-12-15,1.487
2019-01-15,1.297
2019-02-15,1.199
2019-03-15,1.212
2019-04-15,1.205
2019-05-15,1.272
2019-06-15,1.253
2019-07-15,1.409
2019-08-15,1.186
2019-09-15,1.244
2019-10-15,1.344
2019-11-15,1.536
2019-12-15,1.504
2020-01-15,1.316
2020-02-15,1.358
2020-03-15,1.335
2020-04-15,1.279
2020-05-15,1.366
2020-06-15,1.421
2020-07-15,1.381
2020-08-15,1.485
2020-09-15,1.525
2020-10-15,1.237
2020-11-15,1.411
2020-12-15,1.409
2021-01-15,1.426
2021-02-15,1.444
2021-03-15,1.555
2021-04-15,1.484
2021-05-15,1.492
2021-06-15,1.427
2021-07-15,1.421
2021-08-15,1.458
2021-09-15,1.42
2021-10-15,1.379
2021-11-15,1.421
2021-12-15,1.412
2022-01-15,1.411
2022-02-15,1.45
2022-03-15,1.47
2022-04-15,1.527
2022-05-15,1.565
2022-06-15,1.266
2022-07-15,1.309
2022-08-15,1.317
2022-09-15,1.361
2022-10-15,1.392
2022-11-15,1.442
2022-12-15,1.434
2023-01-15,1.395
2023-02-15,2.214
2023-03-15,2.249
2023-04-15,2.328
2023-05-15,2.424
2023-06-15,1.917
2024-02-15,2.501
2024-03-15,2.443
