date,usdprice
2004-01-15,0.33
2004-02-15,0.327
2004-03-15,0.328
2004-04-15,0.335
2004-05-15,0.333
2004-06-15,0.333
2004-07-15,0.338
2004-08-15,0.346
2004-09-15,0.346
2004-10-15,0.339
2004-11-15,0.341
2004-12-15,0.335
2005-01-15,0.343
2005-02-15,0.348
2005-03-15,0.356
2005-04-15,0.356
2005-05-15,0.356
2005-06-15,0.347
2005-07-15,0.345
2005-08-15,0.35
2005-09-15,0.348
2005-10-15,0.329
2005-11-15,0.339
2005-12-15,0.342
2006-01-15,0.307
2006-02-15,0.307
2006-03-15,0.362
2006-04-15,0.306
2006-05-15,0.307
2006-06-15,0.305
2006-07-15,0.304
2006-08-15,0.306
2006-09-15,0.305
2006-10-15,0.303
2006-11-15,0.305
2006-12-15,0.308
2007-01-15,0.313
2007-02-15,0.349
2007-03-15,0.386
2007-04-15,0.391
2007-05-15,0.446
2007-06-15,0.466
2007-07-15,0.471
2007-08-15,0.459
2007-09-15,0.465
2007-10-15,0.474
2007-11-15,0.477
2007-12-15,0.491
2008-01-15,0.492
2008-02-15,0.512
2008-03-15,0.553
2008-04-15,0.721
2008-05-15,0.774
2008-06-15,0.782
2008-07-15,0.738
2008-08-15,0.674
2008-09-15,0.656
2008-10-15,0.594
2008-11-15,0.581
2008-12-15,0.563
2009-01-15,0.551
2009-02-15,0.536
2009-03-15,0.524
2009-04-15,0.506
2009-05-15,0.498
2009-06-15,0.506
2009-07-15,0.499
2009-08-15,0.494
2009-09-15,0.494
2009-10-15,0.49
2009-11-15,0.484
2009-12-15,0.477
2010-01-15,0.485
2010-02-15,0.485
2010-03-15,0.491
2010-04-15,0.489
2010-05-15,0.482
2010-06-15,0.474
2010-07-15,0.473
2010-08-15,0.479
2010-09-15,0.492
2010-10-15,0.503
2010-11-15,0.514
2010-12-15,0.518
2011-01-15,0.546
2011-02-15,0.554
2011-03-15,0.549
2011-04-15,0.566
2011-05-15,0.559
2011-06-15,0.56
2011-07-15,0.574
2011-08-15,0.582
2011-09-15,0.591
2011-10-15,0.607
2011-11-15,0.611
2011-12-15,0.592
2012-01-15,0.593
2012-02-15,0.592
2012-03-15,0.608
2012-04-15,0.622
2012-05-15,0.632
2012-06-15,0.622
2012-07-15,0.619
2012-08-15,0.619
2012-09-15,0.625
2012-10-15,0.627
2012-11-15,0.628
2012-12-15,0.621
2013-01-15,0.62
2013-02-15,0.618
2013-03-15,0.627
2013-04-15,0.629
2013-05-15,0.631
2013-06-15,0.642
2013-07-15,0.647
2013-08-15,0.637
2013-09-15,0.624
2013-10-15,0.62
2013-11-15,0.609
2013-12-15,0.609
2014-01-15,0.62
2014-02-15,0.621
2014-03-15,0.642
2014-04-15,0.682
2014-05-15,0.666
2014-06-15,0.665
2014-07-15,0.666
2014-08-15,0.658
2014-09-15,0.64
2014-10-15,0.642
2014-11-15,0.647
2014-12-15,0.651
2015-01-15,0.628
2015-02-15,0.629
2015-03-15,0.62
2015-04-15,0.602
2015-05-15,0.597
2015-06-15,0.595
2015-07-15,0.588
2015-08-15,0.581
2015-09-15,0.573
2015-10-15,0.559
2015-11-15,0.526
2015-12-15,0.519
2016-01-15,0.524
2016-02-15,0.522
2016-03-15,0.512
2016-04-15,0.516
2016-05-15,0.517
2016-06-15,0.521
2016-07-15,0.523
2016-08-15,0.541
2016-09-15,0.546
2016-10-15,0.54
2016-11-15,0.537
2016-12-15,0.538
2017-01-15,0.54
2017-02-15,0.554
2017-03-15,0.56
2017-04-15,0.569
2017-05-15,0.583
2017-06-15,0.588
2017-07-15,0.591
2017-08-15,0.597
2017-09-15,0.6
2017-10-15,0.602
2017-11-15,0.609
2017-12-15,0.586
2018-01-15,0.596
2018-02-15,0.597
2018-03-15,0.598
2018-04-15,0.577
2018-05-15,0.58
2018-06-15,0.564
2018-07-15,0.546
2018-08-15,0.553
2018-09-15,0.551
2018-10-15,0.519
2018-11-15,0.513
2018-12-15,0.491
2019-01-15,0.506
2019-02-15,0.514
2019-03-15,0.523
2019-04-15,0.52
2019-05-15,0.526
2019-06-15,0.482
2019-07-15,0.489
2019-08-15,0.473
2019-09-15,0.487
2019-10-15,0.486
2019-11-15,0.493
2019-12-15,0.503
2020-01-15,0.5
2020-02-15,0.506
2020-03-15,0.502
2020-04-15,0.482
2020-05-15,0.512
2020-06-15,0.498
2020-07-15,0.495
2020-08-15,0.495
2020-09-15,0.504
2020-10-15,0.513
2020-11-15,0.514
2020-12-15,0.508
2021-01-15,0.509
2021-02-15,0.524
2021-03-15,0.541
2021-04-15,0.553
2021-05-15,0.556
2021-06-15,0.546
2021-07-15,0.548
2021-08-15,0.537
2021-09-15,0.51
2021-10-15,0.502
2021-11-15,0.495
2021-12-15,0.497
2022-01-15,0.509
2022-02-15,0.517
2022-03-15,0.51
2022-04-15,0.503
2022-05-15,0.495
2022-06-15,0.503
2022-07-15,0.505
2022-08-15,0.504
2022-09-15,0.477
2022-10-15,0.533
2022-11-15,0.529
2022-12-15,0.538
2023-01-15,0.612
2023-02-15,0.58
2023-03-15,0.581
2023-04-15,0.608
2023-05-15,0.636
2023-06-15,0.647
2023-07-15,0.686
2023-08-15,0.667
2023-09-15,0.687
2023-10-15,0.773
2023-11-15,0.734
2023-12-15,0.723
2024-01-15,0.738
2024-02-15,0.749
2024-03-15,0.749
2024-04-15,0.75
2024-05-15,0.731
2024-06-15,0.711
