date,usdprice
2015-01-15,2.041
2015-04-15,1.937
2015-05-15,2.055
2015-06-15,2.044
2015-07-15,2.071
2015-09-15,2.062
2015-10-15,2.055
2015-11-15,2.022
2015-12-15,2.067
2016-01-15,1.977
2016-02-15,2.013
2016-03-15,2.057
2016-04-15,2.071
2016-06-15,2.078
2016-07-15,2.029
2016-08-15,2.066
2016-09-15,2.122
2016-10-15,2.059
2016-12-15,1.992
2017-01-15,2.043
2017-02-15,2.099
2017-03-15,2.204
2017-05-15,2.222
2017-07-15,2.269
2017-09-15,2.224
2017-10-15,2.111
2017-11-15,2.173
2017-12-15,2.168
2018-04-15,2.236
2018-05-15,2.119
2018-07-15,2.119
2018-08-15,2.144
2018-09-15,2.096
2018-10-15,2.091
2018-11-15,2.076
2018-12-15,2.014
2019-01-15,2.019
2019-02-15,2.122
2019-03-15,2.12
2019-04-15,2.208
2019-05-15,2.19
2019-10-15,2.207
2019-12-15,2.294
2020-01-15,2.312
2020-02-15,2.302
