date,usdprice
2000-01-15,0.453
2000-02-15,0.456
2000-03-15,0.459
2000-04-15,0.459
2000-05-15,0.458
2000-06-15,0.45
2000-07-15,0.441
2000-08-15,0.435
2000-09-15,0.416
2000-10-15,0.383
2000-11-15,0.372
2000-12-15,0.37
2001-01-15,0.353
2001-02-15,0.392
2001-03-15,0.38
2001-04-15,0.367
2001-05-15,0.37
2001-06-15,0.362
2001-07-15,0.354
2001-08-15,0.368
2001-09-15,0.367
2001-10-15,0.358
2001-11-15,0.355
2001-12-15,0.355
2002-01-15,0.363
2002-02-15,0.361
2002-03-15,0.369
2002-04-15,0.367
2002-05-15,0.379
2002-06-15,0.384
2002-07-15,0.397
2002-08-15,0.406
2002-09-15,0.396
2002-10-15,0.366
2002-11-15,0.357
2002-12-15,0.357
2003-01-15,0.352
2003-02-15,0.351
2003-03-15,0.35
2003-04-15,0.374
2003-05-15,0.38
2003-06-15,0.376
2003-07-15,0.379
2003-08-15,0.368
2003-09-15,0.353
2003-10-15,0.349
2003-11-15,0.341
2003-12-15,0.344
2004-01-15,0.348
2004-02-15,0.343
2004-03-15,0.352
2004-04-15,0.363
2004-05-15,0.368
2004-06-15,0.379
2004-07-15,0.386
2004-08-15,0.384
2004-09-15,0.373
2004-10-15,0.357
2004-11-15,0.356
2004-12-15,0.363
2005-01-15,0.369
2005-02-15,0.381
2005-03-15,0.398
2005-04-15,0.418
2005-05-15,0.424
2005-06-15,0.416
2005-07-15,0.416
2005-08-15,0.417
2005-09-15,0.401
2005-10-15,0.397
2005-11-15,0.405
2005-12-15,0.416
2006-01-15,0.422
2006-02-15,0.436
2006-03-15,0.447
2006-04-15,0.447
2006-05-15,0.443
2006-06-15,0.437
2006-07-15,0.442
2006-08-15,0.453
2006-09-15,0.455
2006-10-15,0.443
2006-11-15,0.447
2006-12-15,0.459
2007-01-15,0.469
2007-02-15,0.48
2007-03-15,0.486
2007-04-15,0.498
2007-05-15,0.51
2007-06-15,0.524
