date,usdprice
2009-04-15,0.521
2009-05-15,0.514
2009-06-15,0.523
2009-09-15,0.522
2009-10-15,0.528
2009-11-15,0.536
2009-12-15,0.548
2010-01-15,0.532
2010-04-15,0.529
2010-05-15,0.531
2010-08-15,0.534
2010-10-15,0.542
2010-11-15,0.55
2010-12-15,0.565
2011-01-15,0.547
2011-04-15,0.546
2011-05-15,0.551
2011-08-15,0.55
2011-10-15,0.55
2011-11-15,0.558
2011-12-15,0.551
2012-01-15,0.533
2012-02-15,0.503
2012-03-15,0.482
2012-04-15,0.465
2012-05-15,0.47
2012-06-15,0.457
2012-07-15,0.454
2012-08-15,0.456
2012-11-15,0.474
2012-12-15,0.487
2013-01-15,0.48
2013-02-15,0.474
2013-03-15,0.477
2013-04-15,0.481
2013-05-15,0.48
2013-06-15,0.468
2013-07-15,0.46
2013-09-15,0.452
2013-10-15,0.452
2013-11-15,0.459
2013-12-15,0.48
2014-01-15,0.545
2014-03-15,0.556
2014-04-15,0.584
2014-05-15,0.592
2014-07-15,0.575
2014-08-15,0.595
2015-01-15,0.599
2015-02-15,0.559
2015-03-15,0.533
2015-04-15,0.517
2015-05-15,0.513
2015-06-15,0.497
2015-07-15,0.48
2015-08-15,0.458
2015-09-15,0.456
2015-10-15,0.452
2015-11-15,0.469
2015-12-15,0.477
2016-01-15,0.601
2016-02-15,0.506
2016-03-15,0.481
2016-04-15,0.492
2016-05-15,0.501
2016-06-15,0.517
2016-07-15,0.514
2016-08-15,0.506
2016-09-15,0.451
2016-10-15,0.476
2016-11-15,0.505
2016-12-15,0.551
2017-01-15,0.59
2017-02-15,0.62
2017-03-15,0.558
2017-04-15,0.559
2017-05-15,0.583
2017-06-15,0.605
2017-07-15,0.581
2017-08-15,0.552
2017-09-15,0.589
2017-10-15,0.633
2017-11-15,0.643
2017-12-15,0.655
2018-01-15,0.565
2018-02-15,0.52
2018-03-15,0.628
