date,usdprice
2002-01-15,0.554
2002-02-15,0.545
2002-03-15,0.492
2002-04-15,0.626
2002-05-15,0.665
2002-06-15,0.757
2002-07-15,0.914
2002-08-15,0.734
2002-09-15,0.81
2002-10-15,0.663
2002-11-15,0.584
2002-12-15,0.572
2003-01-15,0.568
2003-02-15,0.543
2003-03-15,0.559
2003-04-15,0.583
2003-05-15,0.643
2003-06-15,0.682
2003-07-15,0.635
2003-08-15,0.625
2003-09-15,0.558
2003-10-15,0.519
2003-11-15,0.666
2003-12-15,0.581
2004-01-15,0.656
2004-02-15,0.58
2004-03-15,0.536
2004-04-15,0.504
2004-05-15,0.528
2004-06-15,0.544
2004-07-15,0.546
2004-08-15,0.542
2004-09-15,0.559
2004-10-15,0.577
2004-11-15,0.508
2004-12-15,0.561
2005-01-15,0.546
2005-02-15,0.551
2005-03-15,0.611
2005-04-15,0.616
2005-05-15,0.655
2005-06-15,0.766
2005-07-15,0.852
2005-08-15,0.861
2005-09-15,0.874
2005-10-15,0.939
2005-11-15,0.792
2005-12-15,0.813
2006-01-15,0.862
2006-02-15,0.821
2006-03-15,0.84
2006-04-15,0.888
2006-05-15,0.917
2006-06-15,0.9
2006-07-15,0.928
2006-08-15,0.939
2006-09-15,0.898
2006-10-15,0.937
2006-11-15,0.984
2006-12-15,0.928
2007-01-15,1.0
2007-02-15,0.899
2007-03-15,0.972
2007-04-15,0.972
2007-05-15,1.124
2007-06-15,0.984
2007-07-15,1.017
2007-08-15,1.119
2007-09-15,1.031
2007-10-15,1.09
2007-11-15,1.163
2007-12-15,1.155
2008-01-15,1.072
2008-02-15,1.072
2008-03-15,1.19
2008-04-15,1.287
2008-05-15,1.283
2008-06-15,1.479
2008-07-15,2.089
2008-08-15,1.901
2008-09-15,2.047
2008-10-15,2.206
2008-11-15,1.939
2008-12-15,1.86
2009-01-15,1.681
2009-02-15,1.787
2009-03-15,1.81
2009-04-15,1.878
2009-05-15,1.803
2009-06-15,1.513
2009-07-15,1.572
2009-08-15,1.623
2009-09-15,1.651
2009-10-15,1.406
2009-11-15,1.321
2009-12-15,1.256
2010-01-15,1.602
2010-02-15,1.501
2010-03-15,1.487
2010-04-15,1.473
2010-05-15,1.43
2010-06-15,1.364
2010-07-15,1.442
2010-08-15,1.425
2010-09-15,1.358
2010-10-15,1.39
2010-11-15,1.386
2010-12-15,1.456
2011-01-15,1.518
2011-02-15,1.416
2011-03-15,1.543
2011-04-15,1.437
2011-05-15,1.424
2011-06-15,1.409
2011-07-15,1.416
2011-08-15,1.525
2011-09-15,1.544
2011-10-15,1.382
2011-11-15,1.439
2011-12-15,1.591
2012-01-15,1.635
2012-02-15,1.639
2012-03-15,1.796
2012-04-15,1.663
2012-05-15,1.633
2012-06-15,1.594
2012-07-15,1.59
2012-08-15,1.58
2012-09-15,1.674
2012-10-15,1.612
2012-11-15,1.544
2012-12-15,1.505
2013-01-15,1.609
2013-02-15,1.658
2013-03-15,1.612
2013-04-15,1.572
2013-05-15,1.603
2013-06-15,1.502
2013-07-15,1.453
2013-08-15,1.502
2013-09-15,1.494
2013-10-15,1.59
2013-11-15,1.655
2013-12-15,1.569
2014-01-15,1.519
2014-02-15,1.653
2014-03-15,1.602
2014-04-15,1.649
2014-05-15,1.588
2014-06-15,1.579
2014-08-15,1.69
2014-09-15,1.689
2014-10-15,1.791
2014-11-15,1.962
2015-01-15,1.904
2015-02-15,1.76
2015-03-15,1.655
2015-04-15,1.766
2015-05-15,1.649
2015-06-15,1.416
2015-07-15,1.566
2015-08-15,1.605
2015-09-15,1.518
2015-10-15,1.342
2015-11-15,1.38
2015-12-15,1.654
2016-01-15,1.499
2016-02-15,1.235
2016-03-15,1.227
2016-04-15,1.123
2016-05-15,1.248
2016-06-15,1.401
2016-07-15,1.408
2016-08-15,1.433
2016-09-15,1.302
2016-10-15,1.412
2016-11-15,1.264
2016-12-15,1.25
2017-01-15,1.046
2017-02-15,1.37
2017-03-15,1.115
2017-04-15,1.106
2017-05-15,0.965
2017-06-15,1.152
2017-07-15,1.047
2017-08-15,0.95
2017-09-15,1.196
2017-10-15,1.247
2017-11-15,1.08
2017-12-15,1.117
2018-01-15,1.245
2018-02-15,1.136
2018-03-15,1.2
2018-04-15,1.1
2018-05-15,1.145
2018-06-15,1.129
2018-07-15,1.123
2018-08-15,1.036
2018-09-15,1.141
