date,usdprice
2013-05-15,2.468
2013-06-15,2.412
2013-11-15,2.358
2013-12-15,2.473
2014-01-15,2.516
2014-02-15,2.576
2014-03-15,2.71
2014-05-15,3.01
2014-06-15,3.13
2014-07-15,3.137
2014-08-15,3.079
2014-09-15,2.988
2014-10-15,2.862
2014-11-15,2.999
2014-12-15,2.837
2015-01-15,2.924
2015-02-15,2.63
2015-03-15,2.546
2015-04-15,2.422
2015-05-15,2.541
2015-06-15,2.359
2015-07-15,2.389
2015-08-15,2.218
2015-09-15,2.089
2015-10-15,2.198
2015-11-15,2.151
2015-12-15,2.118
2016-01-15,2.088
2016-02-15,2.139
2016-03-15,2.159
2016-04-15,2.242
2016-05-15,2.105
2016-06-15,2.027
2016-07-15,1.94
2016-08-15,1.997
2016-09-15,1.96
2016-10-15,1.899
2016-12-15,1.729
2017-01-15,1.707
2017-02-15,1.803
2017-03-15,1.88
2017-04-15,1.986
2017-05-15,2.033
2017-06-15,2.081
2017-07-15,2.06
2017-08-15,2.058
2017-09-15,2.115
2017-10-15,2.017
2017-11-15,1.991
2017-12-15,2.087
2018-01-15,2.076
2018-02-15,2.106
2018-03-15,2.056
2018-04-15,1.963
2018-05-15,1.818
2018-06-15,1.744
2018-07-15,1.808
2018-08-15,1.473
2018-09-15,1.478
2018-10-15,1.652
2018-11-15,1.811
2018-12-15,1.87
2019-01-15,1.585
2019-02-15,1.705
2019-03-15,1.656
2019-04-15,1.575
2019-05-15,1.568
2019-06-15,1.626
2019-07-15,1.697
2019-08-15,1.731
2019-09-15,1.684
2019-10-15,1.62
2019-11-15,1.674
2019-12-15,1.672
2020-01-15,1.68
2020-02-15,1.623
2020-03-15,1.579
2020-04-15,1.511
2020-05-15,1.562
2020-06-15,1.607
2020-07-15,1.595
2020-08-15,1.538
2020-09-15,1.473
2020-10-15,1.453
2020-11-15,1.597
2020-12-15,1.648
2021-01-15,1.694
2021-02-15,1.854
2021-03-15,1.72
2021-04-15,1.617
2021-05-15,1.558
2021-06-15,1.523
2021-07-15,1.524
2021-08-15,1.506
2021-09-15,1.555
2021-10-15,1.4
2021-11-15,1.316
2021-12-15,1.03
2022-01-15,1.167
2022-02-15,1.172
2022-03-15,1.08
2022-04-15,1.17
