date,usdprice
2014-03-15,0.812
2014-04-15,0.719
2014-05-15,0.835
2014-06-15,0.86
2014-07-15,0.885
2014-08-15,0.811
2014-09-15,0.892
2014-10-15,0.98
2014-11-15,0.942
2014-12-15,0.985
2015-01-15,1.131
2015-02-15,0.845
2015-03-15,0.942
2015-04-15,1.03
2015-05-15,1.059
2015-06-15,0.961
2015-07-15,0.839
2015-08-15,0.827
2015-09-15,0.818
2015-10-15,0.808
2015-11-15,0.722
2015-12-15,0.726
2016-01-15,0.703
2016-02-15,0.638
2016-03-15,0.613
2016-04-15,0.624
2016-05-15,0.621
2016-06-15,0.616
2016-07-15,0.629
2016-08-15,0.625
2016-09-15,0.618
2016-10-15,0.625
2016-11-15,0.633
2016-12-15,0.617
2017-01-15,0.614
2017-02-15,0.622
2017-03-15,0.64
2017-04-15,0.643
2017-05-15,0.671
2017-06-15,0.704
2017-07-15,0.711
2017-09-15,0.751
2017-10-15,0.743
2017-11-15,0.769
2017-12-15,0.726
2018-12-15,0.835
2019-01-15,0.849
2019-02-15,0.867
2019-03-15,0.864
2019-04-15,0.869
2019-05-15,0.877
2019-06-15,0.853
2019-07-15,0.876
2019-08-15,0.894
2019-09-15,0.918
2019-10-15,0.94
2019-11-15,0.96
2019-12-15,0.95
2020-01-15,0.901
2020-02-15,0.893
2020-03-15,0.844
2020-04-15,0.849
2020-05-15,0.877
2020-06-15,0.884
2020-07-15,0.852
2020-08-15,0.839
2020-09-15,0.835
2020-10-15,0.823
2020-11-15,0.825
2020-12-15,0.833
2021-01-15,0.858
2021-02-15,0.88
2021-03-15,0.927
2021-04-15,0.93
2021-05-15,0.95
2021-06-15,0.999
2021-07-15,0.985
2021-08-15,1.012
2021-09-15,1.029
2021-10-15,1.047
2021-11-15,1.062
2021-12-15,1.07
2022-01-15,1.008
2022-02-15,1.025
2022-03-15,1.152
2022-04-15,1.358
2022-05-15,1.58
2022-06-15,1.714
2022-07-15,1.781
2022-08-15,1.529
2022-09-15,1.591
2022-10-15,1.629
2022-11-15,1.622
2022-12-15,1.599
2023-01-15,1.609
2023-02-15,1.623
2023-03-15,1.565
2023-04-15,1.557
2023-05-15,1.52
2023-06-15,1.463
2023-07-15,1.444
