date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,cereals and tubers,"Rice (glutinous, first quality)",KG,actual,Retail,LAK,7250.0,0.8198
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,cereals and tubers,"Rice (glutinous, second quality)",KG,actual,Retail,LAK,6500.0,0.735
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,cereals and tubers,"Rice (glutinous, unmilled)",KG,actual,Retail,LAK,3000.0,0.3392
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,cereals and tubers,"Rice (ordinary, first quality)",KG,actual,Retail,LAK,8000.0,0.9046
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,cereals and tubers,"Rice (ordinary, unmilled)",KG,actual,Retail,LAK,3250.0,0.3675
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs",Eggs,Unit,actual,Retail,LAK,1000.0,0.1131
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs",Fish (catfish),KG,actual,Retail,LAK,19000.0,2.1485
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs",Fish (snake head),KG,actual,Retail,LAK,42500.0,4.8058
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs","Fish (tilapia, farmed)",KG,actual,Retail,LAK,25000.0,2.827
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs","Meat (beef, first quality)",KG,actual,Retail,LAK,70000.0,7.9155
2020-01-15,Attapeu,Samakkhixay,Attapeu,14.8193696,106.8207875,"meat, fish and eggs","Meat (beef, second quality)",KG,actual,Retail,LAK,50000.0,5.6539
