date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-01-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Maize,KG,actual,Retail,MDL,6.25,0.5681
2008-01-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Potatoes,KG,actual,Retail,MDL,4.88,0.4436
2008-01-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Wheat flour,KG,actual,Retail,MDL,7.5,0.6818
2008-01-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Maize,KG,actual,Retail,MDL,5.75,0.5227
2008-01-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Potatoes,KG,actual,Retail,MDL,6.0,0.5454
2008-01-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Wheat flour,KG,actual,Retail,MDL,6.0,0.5454
2008-02-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Maize,KG,actual,Retail,MDL,7.0,0.6343
2008-02-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Potatoes,KG,actual,Retail,MDL,4.5,0.4078
2008-02-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Wheat flour,KG,actual,Retail,MDL,7.5,0.6797
2008-02-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Maize,KG,actual,Retail,MDL,6.0,0.5437
2008-02-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Potatoes,KG,actual,Retail,MDL,5.75,0.5211
2008-02-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Wheat flour,KG,actual,Retail,MDL,6.0,0.5437
2008-03-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Maize,KG,actual,Retail,MDL,7.0,0.6418
2008-03-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Potatoes,KG,actual,Retail,MDL,4.5,0.4126
2008-03-15,Chisinau,Chisinau,Chisinau,47.027,28.842,cereals and tubers,Wheat flour,KG,actual,Retail,MDL,8.25,0.7564
2008-03-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Maize,KG,actual,Retail,MDL,6.25,0.573
2008-03-15,Tighina,Causeni,Causeni,46.642,29.409,cereals and tubers,Potatoes,KG,actual,Retail,MDL,6.0,0.5501
